,Sample Number,Lubrication Condition,Pin Material,Weight (kg),RPM,Sensor,Name of file,wear,friction
0,1,No Lubrication,Brass,8,100,Piezo,Piezo_1,64.4324852071006,14.396568047337277
1,2,No Lubrication,Brass,8,150,Piezo,Piezo_2,31.45402985074627,15.269552238805971
2,3,No Lubrication,Brass,8,200,Piezo,Piezo_3,143.84358974358975,15.61957264957265
3,4,No Lubrication,Brass,8,250,Piezo,Piezo_4,169.69061403508775,16.215
4,5,No Lubrication,Brass,9,100,Piezo,Piezo_5,53.91376146788991,19.837798165137617
5,6,No Lubrication,Brass,9,150,Piezo,Piezo_6,203.29313253012046,19.248072289156624
6,7,No Lubrication,Brass,9,200,Piezo,Piezo_7,202.81141592920352,18.843274336283187
7,8,No Lubrication,Brass,9,250,Piezo,Piezo_8,464.52294642857134,19.44080357142857
8,9,No Lubrication,Brass,10,100,Piezo,Piezo_9,201.09097087378643,22.604271844660197
9,10,No Lubrication,Brass,10,150,Piezo,Piezo_10,191.81211538461537,21.716346153846153
10,11,No Lubrication,Brass,10,200,Piezo,Piezo_11,153.3483185840708,20.713982300884954
11,12,No Lubrication,Brass,10,250,Piezo,Piezo_12,232.4689423076923,20.487596153846155
12,13,No Lubrication,Brass,11,100,Piezo,Piezo_13,83.63806122448979,25.448775510204083
13,14,No Lubrication,Brass,11,150,Piezo,Piezo_14,151.12300970873784,23.27679611650485
14,15,No Lubrication,Brass,11,200,Piezo,Piezo_15,197.05820000000003,22.271400000000003
15,16,No Lubrication,Brass,11,250,Piezo,Piezo_16,213.11654761904762,21.569761904761904
16,17,No Lubrication,Aluminium,2,100,Piezo,Piezo_17,141.32563636363636,26.367181818181813
17,18,No Lubrication,Aluminium,2,150,Piezo,Piezo_18,52.5773831775701,25.884112149532708
18,19,No Lubrication,Aluminium,2,200,Piezo,Piezo_19,192.5366666666667,25.794047619047618
19,20,No Lubrication,Aluminium,2,250,Piezo,Piezo_20,279.1709259259259,25.00074074074074
20,21,No Lubrication,Aluminium,3,100,Piezo,Piezo_21,49.844019607843144,28.61049019607844
21,22,No Lubrication,Aluminium,3,150,Piezo,Piezo_22,54.59412371134022,30.488969072164952
22,23,No Lubrication,Aluminium,3,200,Piezo,Piezo_23,190.9051923076923,29.783365384615383
23,24,No Lubrication,Aluminium,3,250,Piezo,Piezo_24,292.7404504504504,28.208828828828832
24,25,No Lubrication,Aluminium,4,100,Piezo,Piezo_25,50.94122641509434,29.452547169811318
25,26,No Lubrication,Aluminium,4,150,Piezo,Piezo_26,50.92921568627451,31.676078431372545
26,27,No Lubrication,Aluminium,4,200,Piezo,Piezo_27,225.27874999999997,10.356770833333334
27,28,No Lubrication,Aluminium,4,250,Piezo,Piezo_28,237.26305555555555,8.121296296296295
28,29,No Lubrication,Aluminium,5,100,Piezo,Piezo_29,28.319108910891092,17.11267326732673
29,30,No Lubrication,Aluminium,5,150,Piezo,Piezo_30,27.934615384615384,17.254871794871796
30,31,No Lubrication,Aluminium,5,200,Piezo,Piezo_31,30.495212765957447,18.782872340425527
31,32,No Lubrication,Aluminium,5,250,Piezo,Piezo_32,255.40953846153843,16.49323076923077
32,33,Half Lubrication,Brass,8,100,Piezo,Piezo_33,149.90133333333333,9.960916666666666
