,Sample Number,Lubrication Condition,Pin Material,Weight (kg),RPM,wear0,wear1,wear2,friction0,friction1,friction2
0,1,No Lubrication,Brass,8,100,65.42294117647059,66.2535294117647,64.63470588235293,12.972352941176473,12.960588235294118,14.048823529411763
1,2,No Lubrication,Brass,8,150,92.82764705882354,93.31941176470589,93.88882352941175,8.448235294117648,8.467058823529412,8.478823529411766
2,3,No Lubrication,Brass,8,200,31.41235294117647,32.203529411764706,32.031176470588235,15.212352941176471,15.38058823529412,15.27235294117647
3,4,No Lubrication,Brass,8,250,97.19235294117647,97.0829411764706,97.42529411764706,8.874705882352941,9.006470588235295,8.952941176470588
4,5,No Lubrication,Brass,9,100,36.68411764705883,44.65705882352941,53.23823529411765,19.97941176470588,19.71764705882353,19.787647058823527
5,6,No Lubrication,Brass,9,150,144.13235294117646,144.93764705882356,145.5694117647059,9.97764705882353,10.045882352941177,10.086470588235294
6,7,No Lubrication,Brass,9,200,183.93470588235297,198.2029411764706,212.64058823529408,19.401764705882353,19.065882352941177,19.193529411764704
7,8,No Lubrication,Brass,9,250,153.92,155.28764705882352,156.33823529411762,10.356470588235293,10.498823529411764,10.581176470588234
8,9,No Lubrication,Brass,10,100,148.75764705882352,177.49529411764706,204.66764705882352,22.42294117647059,22.56764705882353,22.72823529411765
9,10,No Lubrication,Brass,10,150,140.83529411764707,146.8758823529412,155.53647058823532,19.842352941176472,19.74529411764706,19.91764705882353
10,11,No Lubrication,Brass,10,200,132.1164705882353,163.1605882352941,194.79882352941175,21.761176470588236,21.77235294117647,21.86
11,12,No Lubrication,Brass,10,250,63.09176470588235,68.74823529411765,74.72176470588236,15.194117647058825,16.060000000000002,17.287647058823527
12,13,No Lubrication,Brass,11,100,61.49941176470588,74.30411764705882,85.81529411764706,25.385882352941177,25.173529411764704,25.159411764705883
13,14,No Lubrication,Brass,11,150,123.18941176470587,127.32588235294118,161.14882352941174,22.67529411764706,22.992941176470584,22.699411764705886
14,15,No Lubrication,Brass,11,200,126.87588235294118,143.02882352941174,157.0570588235294,23.28588235294118,23.155882352941177,23.145882352941175
15,16,No Lubrication,Brass,11,250,312.34235294117644,338.6464705882353,365.915294117647,22.28058823529412,22.23235294117647,22.198235294117648
16,17,No Lubrication,Aluminium,2,100,6.619411764705882,6.8870588235294115,7.292352941176469,5.748823529411765,5.878823529411765,5.835294117647059
17,18,No Lubrication,Aluminium,2,150,111.02764705882353,111.57352941176471,112.97176470588235,6.172352941176471,6.388235294117647,6.18
18,19,No Lubrication,Aluminium,2,200,17.42294117647059,17.429411764705886,17.841176470588238,5.9670588235294115,5.618235294117647,5.656470588235294
19,20,No Lubrication,Aluminium,2,250,114.92882352941176,115.72941176470589,118.9364705882353,6.142352941176471,5.4799999999999995,5.800588235294118
20,21,No Lubrication,Aluminium,3,100,32.42176470588236,33.22176470588235,34.04823529411765,10.764117647058825,11.108235294117648,10.938823529411765
21,22,No Lubrication,Aluminium,3,150,38.97176470588236,39.89294117647059,38.43294117647059,10.188823529411764,9.901764705882352,10.358235294117646
