,Sample Number,Lubrication Condition,Pin Material,Weight (kg),RPM,Sensor,Name of file,wear,friction
0,1,No Lubrication,Brass,8,100,Piezo,Piezo_1,65.43705882352941,13.327254901960783
1,2,No Lubrication,Brass,8,150,Piezo,Piezo_2,31.88235294117647,15.28843137254902
2,3,No Lubrication,Brass,8,200,Piezo,Piezo_3,142.66078431372546,14.579803921568626
3,4,No Lubrication,Brass,8,250,Piezo,Piezo_4,126.09549019607844,16.159607843137252
4,5,No Lubrication,Brass,9,100,Piezo,Piezo_5,44.859803921568634,19.828235294117647
5,6,No Lubrication,Brass,9,150,Piezo,Piezo_6,198.25941176470587,19.220392156862744
6,7,No Lubrication,Brass,9,200,Piezo,Piezo_7,173.78607843137252,18.859411764705882
7,8,No Lubrication,Brass,9,250,Piezo,Piezo_8,424.4347058823529,19.290588235294116
8,9,No Lubrication,Brass,10,100,Piezo,Piezo_9,176.9735294117647,22.572941176470586
9,10,No Lubrication,Brass,10,150,Piezo,Piezo_10,163.35862745098038,21.797843137254908
10,11,No Lubrication,Brass,10,200,Piezo,Piezo_11,109.9543137254902,20.650000000000002
11,12,No Lubrication,Brass,10,250,Piezo,Piezo_12,185.25333333333333,20.51294117647059
12,13,No Lubrication,Brass,11,100,Piezo,Piezo_13,73.87294117647059,25.239607843137254
13,14,No Lubrication,Brass,11,150,Piezo,Piezo_14,142.32058823529414,23.195882352941176
14,15,No Lubrication,Brass,11,200,Piezo,Piezo_15,171.5558823529412,22.278431372549022
15,16,No Lubrication,Brass,11,250,Piezo,Piezo_16,196.33078431372547,22.608235294117648
16,17,No Lubrication,Aluminium,2,100,Piezo,Piezo_17,6.932941176470588,5.820980392156862
17,18,No Lubrication,Aluminium,2,150,Piezo,Piezo_18,111.85764705882353,6.2468627450980385
18,19,No Lubrication,Aluminium,2,200,Piezo,Piezo_19,17.56450980392157,5.747254901960783
19,20,No Lubrication,Aluminium,2,250,Piezo,Piezo_20,116.53156862745098,5.807647058823529
20,21,No Lubrication,Aluminium,3,100,Piezo,Piezo_21,33.230588235294114,10.93705882352941
21,22,No Lubrication,Aluminium,3,150,Piezo,Piezo_22,39.09921568627451,10.149607843137256
22,23,No Lubrication,Aluminium,3,200,Piezo,Piezo_23,50.43686274509804,10.58549019607843
23,24,No Lubrication,Aluminium,3,250,Piezo,Piezo_24,187.38137254901963,10.362352941176471
24,25,No Lubrication,Aluminium,4,100,Piezo,Piezo_25,194.98803921568626,9.578823529411766
25,26,No Lubrication,Aluminium,4,150,Piezo,Piezo_26,202.8505882352941,10.415686274509804
26,27,No Lubrication,Aluminium,4,200,Piezo,Piezo_27,224.2833333333333,10.293333333333331
27,28,No Lubrication,Aluminium,4,250,Piezo,Piezo_28,237.47156862745098,8.485882352941175
28,29,No Lubrication,Aluminium,5,100,Piezo,Piezo_29,26.598823529411764,17.292745098039212
29,30,No Lubrication,Aluminium,5,150,Piezo,Piezo_30,28.304117647058824,17.41392156862745
30,31,No Lubrication,Aluminium,5,200,Piezo,Piezo_31,30.158039215686273,18.56392156862745
31,32,No Lubrication,Aluminium,5,250,Piezo,Piezo_32,257.06960784313725,16.69470588235294
32,33,Half Lubrication,Brass,8,100,Piezo,Piezo_33,150.0054901960784,10.195294117647057
33,34,Half Lubrication,Brass,8,150,Piezo,Piezo_34,171.52666666666664,8.980980392156862
34,35,Half Lubrication,Brass,8,200,Piezo,Piezo_35,194.79372549019607,8.22313725490196
35,36,Half Lubrication,Brass,8,250,Piezo,Piezo_36,176.50568627450983,7.710196078431373
36,37,Half Lubrication,Brass,9,100,Piezo,Piezo_37,207.24235294117648,10.480784313725492
37,38,Half Lubrication,Brass,9,150,Piezo,Piezo_38,191.12725490196075,9.735686274509805
38,39,Half Lubrication,Brass,9,200,Piezo,Piezo_39,190.48647058823528,9.293137254901962
39,40,Half Lubrication,Brass,9,250,Piezo,Piezo_40,176.21901960784314,8.954313725490195
40,41,Half Lubrication,Brass,10,100,Piezo,Piezo_41,33.25078431372549,11.746470588235296
41,42,Half Lubrication,Brass,10,150,Piezo,Piezo_42,53.37960784313726,11.055686274509805
42,43,Half Lubrication,Brass,10,200,Piezo,Piezo_43,81.22098039215685,10.685686274509807
43,44,Half Lubrication,Brass,10,250,Piezo,Piezo_44,103.86333333333333,10.193333333333333
44,45,Half Lubrication,Brass,11,100,Piezo,Piezo_45,83.18764705882353,12.98078431372549
45,46,Half Lubrication,Brass,11,150,Piezo,Piezo_46,108.11196078431374,12.218039215686272
46,47,Half Lubrication,Brass,11,200,Piezo,Piezo_47,125.27156862745097,11.743529411764706
47,48,Half Lubrication,Brass,11,250,Piezo,Piezo_48,90.9872549019608,11.187254901960786
48,49,Half Lubrication,Aluminium,2,100,Piezo,Piezo_49,110.68686274509805,1.9966666666666666
49,50,Half Lubrication,Aluminium,2,150,Piezo,Piezo_50,119.51431372549018,1.6907843137254903
50,51,Half Lubrication,Aluminium,2,200,Piezo,Piezo_51,67.33137254901963,1.4707843137254901
51,52,Half Lubrication,Aluminium,2,250,Piezo,Piezo_52,85.30960784313726,1.3076470588235294
52,53,Half Lubrication,Aluminium,3,100,Piezo,Piezo_53,117.76431372549021,3.3031372549019604
53,54,Half Lubrication,Aluminium,3,150,Piezo,Piezo_54,48.827254901960785,3.0952941176470588
54,55,Half Lubrication,Aluminium,3,200,Piezo,Piezo_55,77.45039215686275,2.7698039215686276
55,56,Half Lubrication,Aluminium,3,250,Piezo,Piezo_56,90.95666666666666,2.5533333333333332
56,57,Half Lubrication,Aluminium,4,100,Piezo,Piezo_57,84.8270588235294,4.69
57,58,Half Lubrication,Aluminium,4,150,Piezo,Piezo_58,106.76313725490196,4.360196078431373
58,59,Half Lubrication,Aluminium,4,200,Piezo,Piezo_59,123.95098039215685,4.055686274509804
59,60,Half Lubrication,Aluminium,4,250,Piezo,Piezo_60,126.86235294117648,3.864705882352942
60,61,Half Lubrication,Aluminium,5,100,Piezo,Piezo_61,87.45666666666668,6.001764705882351
61,62,Half Lubrication,Aluminium,5,150,Piezo,Piezo_62,113.0492156862745,5.642941176470589
62,63,Half Lubrication,Aluminium,5,200,Piezo,Piezo_63,130.99627450980392,5.434901960784313
63,64,Half Lubrication,Aluminium,5,250,Piezo,Piezo_64,127.86803921568628,5.165098039215686
64,65,Full Lubrication,Brass,8,100,Piezo,Piezo_65,63.24549019607844,9.499999999999998
65,66,Full Lubrication,Brass,8,150,Piezo,Piezo_66,75.05019607843138,9.034313725490197
66,67,Full Lubrication,Brass,8,200,Piezo,Piezo_67,100.90137254901961,8.354313725490195
67,68,Full Lubrication,Brass,8,250,Piezo,Piezo_68,107.80588235294117,7.92764705882353
68,69,Full Lubrication,Brass,9,100,Piezo,Piezo_69,147.65882352941176,10.51294117647059
69,70,Full Lubrication,Brass,9,150,Piezo,Piezo_70,157.45196078431374,9.840392156862745
70,71,Full Lubrication,Brass,9,200,Piezo,Piezo_71,160.7394117647059,9.296470588235294
71,72,Full Lubrication,Brass,9,250,Piezo,Piezo_72,139.17372549019606,8.875098039215688
72,73,Full Lubrication,Brass,10,100,Piezo,Piezo_73,113.54607843137255,11.954705882352942
73,74,Full Lubrication,Brass,10,150,Piezo,Piezo_74,122.1521568627451,11.216470588235296
74,75,Full Lubrication,Brass,10,200,Piezo,Piezo_75,155.771568627451,10.559411764705882
75,76,Full Lubrication,Brass,10,250,Piezo,Piezo_76,90.6143137254902,10.050392156862744
76,77,Full Lubrication,Brass,11,100,Piezo,Piezo_77,142.20627450980393,13.30098039215686
77,78,Full Lubrication,Brass,11,150,Piezo,Piezo_78,162.2601960784314,12.461764705882352
78,79,Full Lubrication,Brass,11,200,Piezo,Piezo_79,164.388431372549,11.869607843137253
79,80,Full Lubrication,Brass,11,250,Piezo,Piezo_80,115.18627450980394,11.345686274509806
80,81,Full Lubrication,Aluminium,2,100,Piezo,Piezo_81,40.190588235294115,1.5482352941176472
81,82,Full Lubrication,Aluminium,2,150,Piezo,Piezo_82,38.22607843137255,1.447647058823529
82,83,Full Lubrication,Aluminium,2,200,Piezo,Piezo_83,28.026666666666674,1.1903921568627451
83,84,Full Lubrication,Aluminium,2,250,Piezo,Piezo_84,18.94313725490196,1.1037254901960785
84,85,Full Lubrication,Aluminium,3,100,Piezo,Piezo_85,39.81882352941176,2.5792156862745097
85,86,Full Lubrication,Aluminium,3,150,Piezo,Piezo_86,39.07686274509804,2.3666666666666663
86,87,Full Lubrication,Aluminium,3,200,Piezo,Piezo_87,36.31549019607843,2.112156862745098
87,88,Full Lubrication,Aluminium,3,250,Piezo,Piezo_88,11.384509803921569,1.9760784313725486
88,89,Full Lubrication,Aluminium,4,100,Piezo,Piezo_89,41.13117647058824,3.700588235294118
89,90,Full Lubrication,Aluminium,4,150,Piezo,Piezo_90,69.6521568627451,3.239411764705883
90,91,Full Lubrication,Aluminium,4,200,Piezo,Piezo_91,72.17999999999999,2.9974509803921565
91,92,Full Lubrication,Aluminium,4,250,Piezo,Piezo_92,44.20705882352941,2.7811764705882354
92,93,Full Lubrication,Aluminium,5,100,Piezo,Piezo_93,75.37490196078431,4.97313725490196
93,94,Full Lubrication,Aluminium,5,150,Piezo,Piezo_94,84.91372549019609,4.588627450980392
94,95,Full Lubrication,Aluminium,5,200,Piezo,Piezo_95,131.94882352941178,4.297254901960784
95,96,Full Lubrication,Aluminium,5,250,Piezo,Piezo_96,210.5635294117647,4.0684313725490195
